noise_placement,fig4_t3_mean_s,fig4_t3_std_s,fig4_t4_mean_s,fig4_t4_std_s,fig4_t5_mean_s,fig4_t5_std_s
fractional_crystallinity,387.7069607000093,172.6404939095565,137.2121818436947,482.43160996619326,107.55068770365419,68.99725913910665
linearized_observation,379.4520063133982,302.09860403057866,111.74075912357455,782.1154216414405,111.3652025134429,111.56385178623532
