alpha,temperature_c,mean_s,std_s,sensor21_fend_mean,sensor21_fend_std
1e-13,700.0,388.73933225029367,4589.4795838929085,0.38393699337626264,0.016682178626970207
1e-13,800.0,419.5307044937812,1788.002414320729,0.38393699337626264,0.016682178626970207
1e-13,900.0,508.4713064717523,8539.368894286688,0.38393699337626264,0.016682178626970207
1e-13,1000.0,184.753768531143,2447.344859545311,0.38393699337626264,0.016682178626970207
1e-13,1100.0,98.50488825302986,221.3122260309786,0.38393699337626264,0.016682178626970207
1.7782794100389227e-13,700.0,405.94487685388447,3303.7565526537214,0.3839313456713015,0.01656347143923456
1.7782794100389227e-13,800.0,426.02697885317883,1283.7592584237539,0.3839313456713015,0.01656347143923456
1.7782794100389227e-13,900.0,477.2244465920535,6185.517957888239,0.3839313456713015,0.01656347143923456
1.7782794100389227e-13,1000.0,192.98705248301815,1848.0047256033015,0.3839313456713015,0.01656347143923456
1.7782794100389227e-13,1100.0,97.8166452178649,173.52257909280945,0.3839313456713015,0.01656347143923456
3.162277660168379e-13,700.0,420.724818068084,2196.838701895033,0.3839255650462434,0.016462826032223325
3.162277660168379e-13,800.0,431.6897344980935,852.3664368851839,0.3839255650462434,0.016462826032223325
3.162277660168379e-13,900.0,450.21941735917807,4152.216665602466,0.3839255650462434,0.016462826032223325
3.162277660168379e-13,1000.0,200.1512458004336,1342.0749551142014,0.3839255650462434,0.016462826032223325
3.162277660168379e-13,1100.0,97.21478427421088,134.2624365970431,0.3839255650462434,0.016462826032223325
5.62341325190349e-13,700.0,431.7804771358735,1368.1356262003435,0.38391941169624316,0.016384033500608627
5.62341325190349e-13,800.0,435.9369151670726,535.1287283904175,0.38391941169624316,0.016384033500608627
5.62341325190349e-13,900.0,429.8900059506217,2622.24055203832,0.38391941169624316,0.016384033500608627
5.62341325190349e-13,1000.0,205.64538861027998,979.3102356106617,0.38391941169624316,0.016384033500608627
5.62341325190349e-13,1100.0,96.74721313615211,107.25409507209173,0.38391941169624316,0.016384033500608627
1e-12,700.0,439.1746651784882,814.2221003471093,0.38391181267778873,0.016320522594788285
1e-12,800.0,438.7472078951011,334.1157283572771,0.38391181267778873,0.016320522594788285
1e-12,900.0,416.11374473682866,1586.3278851156686,0.38391181267778873,0.016320522594788285
1e-12,1000.0,209.5617070546935,754.852046620116,0.38391181267778873,0.016320522594788285
1e-12,1100.0,96.40267513488848,91.25568017870981,0.38391181267778873,0.016320522594788285
1.7782794100389228e-12,700.0,443.6728623888508,478.72643721618965,0.3839007092495691,0.01625967955751594
1.7782794100389228e-12,800.0,440.3833872860832,229.22265702675722,0.3839007092495691,0.01625967955751594
1.7782794100389228e-12,900.0,407.42073943466227,934.1224013141328,0.3839007092495691,0.01625967955751594
1.7782794100389228e-12,1000.0,212.3887104921361,631.3294137493873,0.3839007092495691,0.01625967955751594
1.7782794100389228e-12,1100.0,96.13430039826777,82.57937486321032,0.3839007092495691,0.01625967955751594
3.1622776601683794e-12,700.0,446.0972734835153,299.548631899246,0.3838826806622376,0.01618476510012726
3.1622776601683794e-12,800.0,441.1232379150702,188.88881525960826,0.3838826806622376,0.01618476510012726
3.1622776601683794e-12,900.0,402.1619926828779,542.1614338848005,0.3838826806622376,0.01618476510012726
3.1622776601683794e-12,1000.0,214.73695390323354,566.675333499291,0.3838826806622376,0.01618476510012726
3.1622776601683794e-12,1100.0,95.88054201530308,77.8089471318277,0.3838826806622376,0.01618476510012726
5.6234132519034904e-12,700.0,447.0235140613599,223.02453267558082,0.3838521738186301,0.01607331633243759
5.6234132519034904e-12,800.0,441.1256214733928,178.35525431028782,0.3838521738186301,0.01607331633243759
5.6234132519034904e-12,900.0,399.03039570287433,313.2383575493551,0.3838521738186301,0.01607331633243759
5.6234132519034904e-12,1000.0,217.25083941779747,530.2868928058919,0.3838521738186301,0.01607331633243759
5.6234132519034904e-12,1100.0,95.56962934457557,74.72545303214298,0.3838521738186301,0.01607331633243759
1e-11,700.0,446.714208688539,198.78866443898076,0.3838003796004982,0.015893374817646452
1e-11,800.0,440.3886273410263,175.34895454699688,0.3838003796004982,0.015893374817646452
1e-11,900.0,397.13053551057374,181.87952060637141,0.3838003796004982,0.015893374817646452
1e-11,1000.0,220.65476474003893,504.1386682934634,0.3838003796004982,0.015893374817646452
1e-11,1100.0,95.11186371982198,72.00049205422182,0.3838003796004982,0.015893374817646452
1.7782794100389227e-11,700.0,445.14416290782924,190.06711524175753,0.3837141960957075,0.015600033337612344
1.7782794100389227e-11,800.0,438.7460798707197,170.85751831713083,0.3837141960957075,0.015600033337612344
1.7782794100389227e-11,900.0,395.88384130637394,107.38802758737084,0.3837141960957075,0.015600033337612344
1.7782794100389227e-11,1000.0,225.83678695510756,477.5980745299131,0.3837141960957075,0.015600033337612344
