experiment,noise_placement,noise_fraction,t4_mean_s,t4_std_s,t5_mean_s,t5_std_s,t1_mean_s,t1_std_s,t2_mean_s,t2_std_s,t3_mean_s,t3_std_s
fig3_regularized_lls,fractional_crystallinity,0.0025,269.0648030696716,22.22149811209305,94.24703167304459,3.292349196208145,,,,,,
spike_1100,fractional_crystallinity,0.0025,,,,,999.9978390684331,2.7760785300967137,590.0010086213821,3.1408499665859018,10.001152310184784,0.3739984982061594
fig3_regularized_lls,fractional_crystallinity,0.005,268.5078846231002,44.44296585959871,94.31399353286349,6.584686620803524,,,,,,
spike_1100,fractional_crystallinity,0.005,,,,,1000.1511349413745,5.552108269978301,589.8212011883109,6.281626467545435,10.027663870314603,0.7479692685232693
fig3_regularized_lls,fractional_crystallinity,0.01,267.35012000302936,88.8869996901759,94.4540486240876,13.169502749753025,,,,,,
spike_1100,fractional_crystallinity,0.01,,,,,1000.4550202154467,11.104172530805638,589.4649834710982,12.563130080158524,10.079996313455087,1.4958479258123833
fig3_regularized_lls,fractional_crystallinity,0.02,264.8588020108766,177.7877947362543,94.75869260116423,26.340937493377268,,,,,,
spike_1100,fractional_crystallinity,0.02,,,,,1001.0520375164319,22.20937889773182,588.7660531211177,25.127137325235683,10.18190936245042,2.991495649622755
fig3_regularized_lls,fractional_crystallinity,0.05,255.975311781126,444.76450787419697,95.869278372472,65.8952746726297,,,,,,
spike_1100,fractional_crystallinity,0.05,,,,,1002.7585702296942,55.5555186354447,586.7755942680137,62.85191855351563,10.465835502292139,7.480486139732086
fig3_regularized_lls,linearized_observation,0.0025,268.8233554400056,35.90227870092068,94.27045035578841,5.309824345245476,,,,,,
spike_1100,linearized_observation,0.0025,,,,,1000.108565899994,4.492364481124325,589.8697582297715,5.1032419037052605,10.021675870234601,0.6294047792907196
fig3_regularized_lls,linearized_observation,0.005,268.03962982941323,71.80455740180035,94.35878729410537,10.61964869048696,,,,,,
spike_1100,linearized_observation,0.005,,,,,1000.3734942162881,8.98472896224887,589.5575640274892,10.206483807410782,10.068941756222761,1.258809558581473
fig3_regularized_lls,linearized_observation,0.01,266.4721786083091,143.6091148036177,94.53546117073098,21.23929738097536,,,,,,
spike_1100,linearized_observation,0.01,,,,,1000.9033508488759,17.969457924497927,588.9331756229252,20.412967614821795,10.163473528199003,2.517619117162983
fig3_regularized_lls,linearized_observation,0.02,263.3372761660392,287.2182296072787,94.88880892398836,42.47859476195588,,,,,,
spike_1100,linearized_observation,0.02,,,,,1001.9630641140516,35.93891584899592,587.684398813797,40.82593522964367,10.3525370721515,5.035238234325975
fig3_regularized_lls,linearized_observation,0.05,253.93256883919432,718.0455740181117,95.94885218376463,106.19648690488083,,,,,,
spike_1100,linearized_observation,0.05,,,,,1005.1422039095784,89.84728962248951,583.9380683864125,102.06483807410882,10.91972770400898,12.588095585814878
