alpha,mean_fend,std_fend
1e-13,0.10950259568453724,0.15423850766394603
1.1815817326180995e-13,0.11103678111004162,0.15339822942736236
1.396135390856796e-13,0.11291994716069335,0.1523668133925531
1.6496480740980207e-13,0.11522475548324629,0.15110446254451174
1.9491940296028504e-13,0.11803558050602647,0.14956496474051553
2.3031320587070006e-13,0.1214486620205216,0.1476956091407037
2.721338768375309e-13,0.12557125342400244,0.14543765271830253
3.2154841769777024e-13,0.13051926080650592,0.14272761333919287
3.799357365039413e-13,0.13641279197917835,0.1394997075732415
4.489251258218608e-13,0.14336904659080943,0.1356897448000867
5.304417279843926e-13,0.15149215711684239,0.13124069133176477
6.267602560047398e-13,0.16086002205798508,0.12610988191170427
7.405684692262443e-13,0.17150891215047115,0.12027745094232144
8.750421749906794e-13,0.18341763547107548,0.11375500530736148
1.0339338492393973e-12,0.19649410543254509,0.1065929811235177
1.221677348996793e-12,0.21056785749666285,0.098884742360485
1.4435116387279174e-12,0.22539189404407417,0.09076557039988871
1.705626983142532e-12,0.24065583746192487,0.08240546004735565
2.015337685941735e-12,0.25600984003472393,0.07399602400925012
2.381286194765587e-12,0.27109576350952724,0.06573341574566527
2.8136842678706836e-12,0.2855799380913543,0.057800387264452587
3.3245979322709453e-12,0.29918131178855056,0.05035087163524613
3.928284185071255e-12,0.3116902373042729,0.0434996933492498
4.6415888336127725e-12,0.3229758607124375,0.03731852151792291
5.484416576121026e-12,0.332982936580734,0.03183761424023401
6.480286440412508e-12,0.3417209113551189,0.027051797667691058
7.656988080124188e-12,0.3492488762460379,0.022928707356410335
9.047357242349311e-12,0.3556596608629593,0.019417500234068207
1.0690192046030011e-11,0.3852,0.0030750473590448624
1.2631335639768368e-11,0.3852381623210547,0.0030192650747205454
1.492495545051832e-11,0.38527543014964877,0.002971779511248665
1.7635054720471387e-11,0.38531092995946675,0.002931356664361791
2.0837258511429578e-11,0.38534382966505465,0.002896946068151697
2.4620924014946205e-11,0.3853733581251981,0.0028676534966797294
2.9091634056238833e-11,0.3853988232178183,0.0028427177257851636
3.4374143372862396e-11,0.3854196280627277,0.00282149075120216
4.061585988376988e-11,0.38543528501199487,0.0028034209489148088
4.799095809323878e-11,0.3854454270799992,0.0027880387401394997
5.670523941381169e-11,0.38544981654526267,0.002774944388411432
6.700187503509577e-11,0.3854483505224399,0.0027637976116589567
7.916819159263017e-11,0.38544106337386325,0.0027543087393153798
9.354368899026163e-11,0.3854281259041191,0.0027462311846686792
1.1052951411260244e-10,0.385409841356533,0.002739355036828561
1.3059965479060547e-10,0.385386638305403,0.0027335016057857308
1.5431416638680932e-10,0.3853590606105816,0.0027285187788061724
1.8233480008684387e-10,0.38532775466986174,0.0027242770674873683
2.1544346900318867e-10,0.3852934542679602,0.002720666242751554
2.545640673860415e-10,0.38525696337722576,0.0027175924703298033
3.0078825180431083e-10,0.3852191373132091,0.0027149758722969483
3.554059037181068e-10,0.38518086268679086,0.0027127484512891042
4.199411234979421e-10,0.3851430366227742,0.0027108523234605692
4.961947603002898e-10,0.3851065457320398,0.0027092382142600707
5.862946645916415e-10,0.38507224533013823,0.0027078641779361874
6.927550656129393e-10,0.38504093938941836,0.002706694507495818
8.185467307069021e-10,0.385013361694597,0.0027056988067888617
9.671798642975463e-10,0.384990158643467,0.0027048512006054314
1.1428020598100333e-09,0.38497187409588085,0.002704129662258446
1.3503140378698723e-09,0.3849589366261367,0.0027035154411775386
1.5955064004448258e-09,0.38495164947756005,0.0027029925756391964
1.8852212170408725e-09,0.3849501834547373,0.0027025474779704835
2.2275429519995566e-09,0.3849545729200008,0.002702168581447065
2.632024060704883e-09,0.3849647149880051,0.0027018460397094865
3.1099515499402015e-09,0.38498037193727225,0.0027015714708864694
3.674661940736688e-09,0.38500117678218165,0.002701337739775765
4.341913422721444e-09,0.3850266418748019,0.002701138772422112
5.130325584897008e-09,0.3850561703349453,0.002700969398273757
6.061898993497572e-09,0.3850890700405332,0.002700825215815659
7.162629115692805e-09,0.3851245698503512,0.002700702478187603
8.463231720621152e-09,0.3851618376789453,0.002700597995814784
1e-08,0.386,0.0028
