4.715559726265969971e+02,4.600498350494784177e+02,3.952128813273285459e+02,1.733800672049036962e+02,1.022524111315136395e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.936380140030069015e+02,1.710155019546457424e+02,1.022085432066434976e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.943328633852197527e+02,1.605300195021994512e+02,1.024149148290311189e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.947808007012523603e+02,1.524300511644924541e+02,1.044437874892949623e+02
4.715559726265969971e+02,4.600498350494784177e+02,6.273147619097428560e+02,1.649488593320192820e+02,1.024884144659737473e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.943558656657254460e+02,1.671872614723662878e+02,1.034912322604053969e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.945148512089335782e+02,1.758800879599709504e+02,1.026100799480115739e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.946518229022578339e+02,1.656594715327433107e+02,1.041910966724288414e+02
4.715559726265969971e+02,4.600498350494784177e+02,1.606852380902571440e+02,1.619041314377874414e+02,1.046235271444273423e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.943471527334077678e+02,1.741728822543891511e+02,1.042089730877000733e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.944281952941853433e+02,1.706641877546966555e+02,1.013035263839075384e+02
4.715559726265969971e+02,4.600498350494784177e+02,1.606852380902571440e+02,2.440690767122150646e+02,9.647855832177424418e+01
4.715559726265969971e+02,4.600498350494784177e+02,3.937889827320035465e+02,1.558827986269028543e+02,1.032993428547483745e+02
4.715559726265969971e+02,4.600498350494784177e+02,6.273147619097428560e+02,9.593092328778492117e+01,1.032747318700503314e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.923704608318886358e+02,1.705009960840225460e+02,1.021232188074451699e+02
4.715559726265969971e+02,4.600498350494784177e+02,1.606852380902571440e+02,1.694609799719650596e+02,1.035308964423090146e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.941665202221941513e+02,1.591826053515061687e+02,1.004446844193876132e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.947005060056707748e+02,1.668583609536433414e+02,1.029575045254907337e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.927940783532041564e+02,1.661753544959492217e+02,1.040677120480844593e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.946884558750492715e+02,1.653898867142544873e+02,1.016946910513299258e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.939952780891039765e+02,1.790396624375488841e+02,1.011826760620125043e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.940124660312812921e+02,1.672081276830680281e+02,1.035263991962443555e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.954762792634230664e+02,1.644510014612317548e+02,1.053965518661101726e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.939297907494207038e+02,2.440690767122150646e+02,1.017929100542859118e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.942461075251906095e+02,1.651296175266956823e+02,1.047354533294257806e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.932215380979209840e+02,2.440690767122150646e+02,1.033330855678714784e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.951579908457613328e+02,9.593092328778492117e+01,9.647855832177424418e+01
4.715559726265969971e+02,4.600498350494784177e+02,3.938404196111059719e+02,2.440690767122150646e+02,1.035801393272018629e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.960557307748634344e+02,1.750561307982154915e+02,1.030498985919887929e+02
4.715559726265969971e+02,4.600498350494784177e+02,6.273147619097428560e+02,1.648121101338588232e+02,1.017932139326225638e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.933633235285880687e+02,1.603477275636678314e+02,1.056744004824521710e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.929461641016694671e+02,1.794599445786180638e+02,1.025253492267218718e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.940324111044824917e+02,1.650207377475285000e+02,1.058058924841431008e+02
4.715559726265969971e+02,4.600498350494784177e+02,1.606852380902571440e+02,1.682969913879221053e+02,1.021785229599592526e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.936401224283957845e+02,1.606646206898179798e+02,1.035030231627163175e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.939707084406084050e+02,1.792125773814599086e+02,1.051918987080861285e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.950050696357972697e+02,1.648457790198345378e+02,1.039983092667114732e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.946564952084486890e+02,1.807568903900886710e+02,1.026477119101407851e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.955827394599663194e+02,1.708930788333816224e+02,1.040244246251941718e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.946840447287867164e+02,1.818984196289598572e+02,1.040653078871642663e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.942668529450604638e+02,1.826244536242125491e+02,1.095214416782257558e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.941893829362301744e+02,1.677724333831711192e+02,1.037062437586535992e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.940399712093584981e+02,1.810962866440219159e+02,1.040498504989609359e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.926298267616314774e+02,1.677765005341625795e+02,1.040491456757575008e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.930449789222287222e+02,1.688512812104339673e+02,1.041891536089376444e+02
4.715559726265969971e+02,4.600498350494784177e+02,1.606852380902571440e+02,1.717132160794849938e+02,1.039104277508970853e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.939139248353437779e+02,1.712793730145445750e+02,1.036598050504421025e+02
4.715559726265969971e+02,4.600498350494784177e+02,3.926717489260678917e+02,1.736081359099995893e+02,1.022214772768340509e+02
