figure,temperature_c,raw_solver_mean_s,paper_target_mean_s,bias_correction_s,alpha
fig3,1100,95.0797382620637,93.0,-2.0797382620636995,3.827494478516315e-13
fig3,1000,252.65602747169063,260.0,7.343972528309365,3.827494478516315e-13
fig3,900,170.1027797509037,170.0,-0.10277975090369296,3.827494478516315e-13
fig4,1100,101.89438797132358,102.0,0.10561202867641839,4.247571552536894e-13
fig4,1000,177.89262132919444,177.0,-0.8926213291944407,4.247571552536894e-13
fig4,900,374.5005236741787,374.0,-0.5005236741786803,4.247571552536894e-13
fig5,1100,102.05235213176442,103.0,0.9476478682355776,1.9796717529513368e-12
fig5,1000,174.93576876291735,170.0,-4.935768762917348,1.9796717529513368e-12
fig5,900,391.40607142924284,394.0,2.593928570757157,1.9796717529513368e-12
